STATE,COUNTY_NAME,datetime,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,humidity
CA,Los Angeles,2012-8-14,1,Lightning,230,A,36.86583333,-118.7169444,
CA,Los Angeles,2012-5-19,9,Miscellaneous,140,A,36.80888889,-118.7663889,
CA,Los Angeles,2012-8-15,1,Lightning,228,A,37.4625,-119.1122222,
CA,Los Angeles,2012-7-25,4,Campfire,207,A,37.04333333,-119.125,
CA,Los Angeles,2012-8-23,4,Campfire,236,A,37.08777778,-119.2161111,
CA,Los Angeles,2012-8-4,1,Lightning,218,A,37.28527778,-118.9741667,
CA,Los Angeles,2012-8-6,1,Lightning,227,E,37.35833333,-118.9791667,
CA,Los Angeles,2012-7-13,9,Miscellaneous,195,A,37.13805556,-118.9583333,
CA,Los Angeles,2012-11-4,9,Miscellaneous,309,A,37.00777778,-119.0658333,
CA,Los Angeles,2012-10-26,7,Arson,300,A,36.94138889,-118.96,
CA,Los Angeles,2012-6-8,1,Lightning,,B,36.96805556,-119.1361111,
CA,Los Angeles,2012-10-25,1,Lightning,299,A,36.92277778,-118.9744444,
CA,Los Angeles,2012-8-17,1,Lightning,231,A,37.28305556,-119.0086111,
CA,Los Angeles,2012-10-13,9,Miscellaneous,287,A,37.39138889,-118.9444444,
CA,Los Angeles,2012-8-17,1,Lightning,231,A,37.29611111,-118.9336111,
CA,Los Angeles,2012-9-3,4,Campfire,248,A,38.07611111,-118.9655556,
CA,Los Angeles,2012-8-5,1,Lightning,219,B,37.32277778,-118.9719444,
CA,Los Angeles,2012-6-23,4,Campfire,175,A,37.065,-119.1536111,
CA,Los Angeles,2012-11-10,9,Miscellaneous,316,A,37.09555556,-119.2988889,
CA,Los Angeles,2012-7-17,4,Campfire,199,A,37.06944444,-119.1602778,
CA,Los Angeles,2012-8-5,1,Lightning,220,A,37.32444444,-118.9663889,
CA,Los Angeles,2012-8-17,1,Lightning,231,A,37.34388889,-118.9516667,
CA,Los Angeles,2012-8-4,9,Miscellaneous,217,A,37.24944444,-119.1802778,
CA,Los Angeles,2012-6-25,4,Campfire,177,A,37.11694444,-119.1705556,
CA,Los Angeles,2012-8-1,4,Campfire,215,A,37.36027778,-118.9872222,
CA,Los Angeles,2012-9-30,1,Lightning,275,B,37.22722222,-118.8575,
CA,Los Angeles,2012-7-13,4,Campfire,195,A,37.42777778,-118.9933333,
CA,Los Angeles,2012-8-8,4,Campfire,221,A,37.11888889,-119.0163889,
CA,Los Angeles,2012-10-16,9,Miscellaneous,291,A,37.08416667,-119.0602778,
CA,Los Angeles,2012-8-29,1,Lightning,243,B,37.51805556,-119.01,
CA,Los Angeles,2012-8-13,1,Lightning,226,A,37.30305556,-119.0352778,
CA,Los Angeles,2012-8-5,1,Lightning,220,C,37.43805556,-119.2158333,
